Time,Icc,Pm,Vwind,Pout,Vcc,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
0.164,-2.40874e-006,2.74677,100.8,-3.56085e-005,18,39.2074,0.0928191,15,28,2.5379,6785.85,710.612,0.00386535
0.165,-2.39453e-006,2.75073,100.8,-3.57917e-005,18,39.3492,0.0931548,15,28,2.54156,6795.64,711.637,0.00386535
0.166,-2.38742e-006,2.7547,100.8,-3.59729e-005,18,39.4918,0.0934923,15,28,2.54523,6805.45,712.665,0.00386535
0.167,-2.38032e-006,2.75868,100.8,-3.61519e-005,18,39.6351,0.0938316,15,28,2.54891,6815.28,713.695,0.00386535
0.168,-2.37321e-006,2.76267,100.8,-3.6329e-005,18,39.7792,0.0941726,15,28,2.55259,6825.14,714.727,0.00386535
0.169,-2.37321e-006,2.84804,100.8,-3.6504e-005,18,39.924,0.0945155,15,28,2.55629,6835.02,715.762,0.00397904
0.17,-2.36255e-006,2.77068,100.8,-3.66769e-005,18,40.0696,0.0948602,15,28,2.55999,6844.92,716.798,0.00386535
0.171,-2.36966e-006,2.77469,100.8,-3.68477e-005,18,40.216,0.0952068,15,28,2.5637,6854.84,717.837,0.00386535
0.172,-2.36966e-006,2.77872,100.8,-3.70165e-005,18,40.3632,0.0955552,15,28,2.56742,6864.78,718.878,0.00386535
0.173,-2.35545e-006,2.8646,100.8,-3.71832e-005,18,40.5111,0.0959054,15,28,2.57115,6874.75,719.922,0.00397904
0.174,-2.34479e-006,2.86876,100.8,-3.73478e-005,18,40.6599,0.0962576,15,28,2.57488,6884.74,720.968,0.00397904
0.175,-2.34479e-006,2.87293,100.8,-3.75104e-005,18,40.8094,0.0966116,15,28,2.57863,6894.75,722.016,0.00397904
0.176,-2.34479e-006,2.87711,100.8,-3.76708e-005,18,40.9597,0.0969675,15,28,2.58238,6904.78,723.067,0.00397904
0.177,-2.33058e-006,2.8813,100.8,-3.78292e-005,18,41.1109,0.0973254,15,28,2.58614,6914.83,724.12,0.00397904
0.178,-2.33413e-006,2.8855,100.8,-3.79854e-005,18,41.2629,0.0976851,15,28,2.58991,6924.91,725.175,0.00397904
0.179,-2.32347e-006,2.88971,100.8,-3.81396e-005,18,41.4157,0.0980468,15,28,2.59369,6935.01,726.233,0.00397904
0.18,-2.32347e-006,2.89393,100.8,-3.82917e-005,18,41.5693,0.0984105,15,28,2.59747,6945.14,727.293,0.00397904
0.181,-2.30926e-006,2.89815,100.8,-3.84417e-005,18,41.7237,0.0987761,15,28,2.60127,6955.28,728.355,0.00397904
0.182,-2.30926e-006,2.90239,100.8,-3.85896e-005,18,41.879,0.0991437,15,28,2.60507,6965.45,729.42,0.00397904
0.183,-2.30216e-006,2.98969,100.8,-3.87354e-005,18,42.0351,0.0995133,15,28,2.60888,6975.64,730.488,0.00409273
